athleteCountryCode,nameAndEvent,price
RSA,Shirley Nekhubui (200m),$2610000
AUT,Susanne Walli (400m),$2610000
RSA,Zenéy van der Walt (400m Hurdles),$2610000
AUS,Bree Masters (100m),$2600000
IVB,Beyonce Defreitas (200m),$2590000
BRA,Ana Azevedo (200m),$2580000
BRA,Tabata Vitorino (400m),$2580000
SUI,Silke Lemmens (400m),$2560000
BEL,Paulien Couckuyt (400m Hurdles),$2560000
GER,Sophia Junk (200m),$2510000
CIV,Maboundou Koné (200m),$2480000
CAN,Catherine Léger (200m),$2470000
PUR,Grace Claxton (400m Hurdles),$2410000
NOR,Elisabeth Slettum (200m),$2400000
RSA,Taylon Bieldt (400m Hurdles),$2380000
GER,Alica Schmidt (400m),$2360000
SKN,Amya Clarke (100m),$2340000
ZAM,Niddy Mingilishi (400m),$2310000
CHN,Jiadie Mo (400m Hurdles),$2310000
RSA,Wenda Nel (400m Hurdles),$2310000
ITA,Rebecca Sartori (400m Hurdles),$2310000
GER,Carolina Krafzik (400m Hurdles),$2290000
NZL,Portia Bing (400m Hurdles),$2280000
AUS,Sarah Carli (400m Hurdles),$2250000
FIN,Anniina Kortetmaa (200m),$2230000
SLE,Fatmata Awolo (100m),$2190000
CZE,Helena Jiranová (100m Hurdles),$2170000
NZL,Rosie Elliott (400m),$2160000
ITA,Linda Olivieri (400m Hurdles),$2150000
SGP,Veronica Pereira (200m),$2110000
MAS,Shereen Vallabouy (400m),$2100000
BRA,Ketiley Batista (100m Hurdles),$2100000
KUW,Mudhawi Al Shammari (100m),$2020000
SUI,Yasmin Giger (400m Hurdles),$1980000
BRA,Chayenne da Silva (400m Hurdles),$1950000
SVK,Daniela Ledecká (400m Hurdles),$1920000
POR,Vera Barbosa (400m Hurdles),$1920000
VIE,Thi Lan Quach (400m Hurdles),$1920000
TKS,Yanique Haye-Smith (400m Hurdles),$1720000
BRN,Aminat Jamal (400m Hurdles),$1710000
MAD,Sidonie Fiadanantsoa (100m Hurdles),$1690000
SLO,Agata Zupin (400m Hurdles),$1620000
FIN,Kristiina Halonen (400m Hurdles),$1540000
TOG,Naomi Akakpo (100m Hurdles),$1290000
PLE,Hanna Barakat (200m),$680000
PYF,Hereiti Bernardino (100m),$370000
KSA,Yasmeen Al-Dabbagh (100m),$310000
NMI,Zarinae Sapong (100m),$260000
SOL,Jovita Arunia (100m),$180000
