athleteCountryCode,nameAndEvent,price
ECU,Brian Daniel Pintado (20K Racewalk),$3830000
BIH,Abedin Mujezinović (800m),$3820000
AUS,Matthew Ramsden (5000m),$3800000
ESP,Mario García (1500m),$3800000
NZL,Hamish Carson (5000m),$3780000
BEL,Tim Van De Velde (3000m Steeplechase),$3740000
BRA,Jose Marcio Leao Da Silva (Marathon),$3740000
CAN,Evan Dunfee (35K Racewalk),$3740000
ESP,Alberto Amezcua (20K Racewalk),$3720000
PER,César Rodríguez (35K Racewalk),$3720000
SVK,Dominik Černý (35K Racewalk),$3690000
USA,Joshua Thompson (1500m),$3690000
POL,Dawid Tomala (35K Racewalk),$3680000
CZE,Filip Sasínek (1500m),$3680000
CHN,Jianhua Peng (Marathon),$3640000
MAR,Elhassane Moujahid (1500m),$3640000
AUS,Jack Rayner (10000m),$3620000
COL,Carlos San Martin (3000m Steeplechase),$3620000
ITA,Andrea Agrusti (35K Racewalk),$3610000
CAN,Cameron Proceviat (1500m),$3600000
CHN,Wenchao Niu (20K Racewalk),$3590000
KEN,Rodgers Kwemoi (10000m),$3580000
AUS,Matthew Ramsden (1500m),$3580000
GER,Karl Bebendorf (3000m Steeplechase),$3570000
USA,Samuel Prakel (1500m),$3570000
AUS,Rhydian Cowley (35K Racewalk),$3550000
URU,Santiago Catrofe (1500m),$3550000
ROU,Marius Iulian Cocioran (35K Racewalk),$3540000
IRL,Andrew Coscoran (1500m),$3540000
AUS,Ky Robinson (5000m),$3520000
BRN,Shumi Dechasa (Marathon),$3520000
BOL,Héctor Garibay Flores (Marathon),$3510000
ARU,Jethro Saint-Fleur (5000m),$3500000
USA,Sean McGorty (10000m),$3500000
POR,Isaac Nader (1500m),$3470000
JPN,Hiroto Jusho (20K Racewalk),$3450000
GER,Sam Parsons (5000m),$3440000
GER,Christopher Linke (20K Racewalk),$3440000
USA,Shadrack Kipchirchir (10000m),$3430000
GER,Christoph Kessler (1500m),$3430000
ERI,Habtom Samuel (10000m),$3420000
UGA,Jackson Kiprop (Marathon),$3420000
ESP,Marc Tur (35K Racewalk),$3410000
CAN,Cameron Levins (Marathon),$3390000
KOR,Joo-Han Oh (Marathon),$3380000
MEX,Andres Eduardo Olivas Núñez (20K Racewalk),$3370000
GRE,Alexandros Papamichail (35K Racewalk),$3370000
LAT,Arnis Rumbenieks (35K Racewalk),$3350000
GER,Maximilian Thorwirth (5000m),$3320000
ARG,Joaquin Arbe (Marathon),$3320000
BEL,Isaac Kimeli (10000m),$3310000
USA,Colin Bennie (Marathon),$3300000
GBR,Patrick Dever (10000m),$3260000
KOR,Byeong-Kwang Choe (20K Racewalk),$3250000
FRA,Jimmy Gressier (10000m),$3240000
NOR,Tom Kårbø (3000m Steeplechase),$3240000
BRA,Altobelli Silva (5000m),$3230000
BDI,Egide Ntakarutimana (10000m),$3230000
PAN,Jorge Castelblanco (Marathon),$3230000
ECU,David Hurtado (20K Racewalk),$3230000
BRA,Paulo Roberto Paula (Marathon),$3220000
RSA,Wayne Snyman (20K Racewalk),$3210000
BRA,Thiago André (1500m),$3210000
BDI,Rodrigue Kwizera (10000m),$3200000
KEN,Daniel Mateiko (10000m),$3200000
ARG,Federico Bruno (1500m),$3200000
NOR,Ferdinand Edman (1500m),$3190000
COL,Éider Arévalo (20K Racewalk),$3170000
UGA,Stephen Kissa (10000m),$3160000
ARG,Eulalio Munoz (Marathon),$3160000
GUA,José Barrondo (20K Racewalk),$3140000
SLO,Žan Rudolf (800m),$3130000
KEN,Stanley Waithaka Mburu (10000m),$3110000
UGA,Filex Malewa Chemongesi (Marathon),$3110000
SWE,David Nilsson (Marathon),$3100000
MAR,Anass Essayi (1500m),$3100000
PER,Luis Henry Campos (35K Racewalk),$3080000
AUS,Declan Tingay (20K Racewalk),$3070000
PER,César Rodríguez (20K Racewalk),$3060000
CAN,Ben Preisner (Marathon),$3050000
BEL,Lahsene Bouchikhi (Marathon),$3020000
LES,Tebello Ramakongoana (Marathon),$3010000
ZIM,Isaac Mpofu (Marathon),$3010000
MEX,Jesus Calderon (20K Racewalk),$3010000
IRL,Brendan Boyce (35K Racewalk),$2970000
COL,Diego Pinzon (35K Racewalk),$2960000
UGA,Fred Musobo (Marathon),$2940000
TAN,Emanuel Gisamoda (Marathon),$2920000
ITA,Francesco Fortunato (20K Racewalk),$2920000
CZE,Vít Hlaváč (35K Racewalk),$2910000
MGL,Byambajav Tseveenravdan (Marathon),$2900000
ESP,Carlos Mayo (10000m),$2860000
CHN,Kaihua Wang (20K Racewalk),$2860000
LTU,Marius Žiūkas (35K Racewalk),$2860000
GBR,Chris Thompson (Marathon),$2840000
ECU,Jonathan Javier Amores Carua (35K Racewalk),$2820000
DEN,Thijs Nijhuis (Marathon),$2810000
GUA,José Ortíz (20K Racewalk),$2810000
CHN,Shaohui Yang (Marathon),$2800000
URU,Nicolás Cuestas (Marathon),$2780000
GER,Tom Gröschel (Marathon),$2780000
JPN,Tatsuhiko Ito (10000m),$2760000
JPN,Toshikazu Yamanishi (20K Racewalk),$2760000
ISR,Tasama Moogas (Marathon),$2740000
MEX,Julio Salazar (20K Racewalk),$2740000
POR,Rui Coelho (35K Racewalk),$2740000
CHN,Jun Zhang (20K Racewalk),$2720000
USA,Elkanah Kibet (Marathon),$2710000
RSA,Tumelo Motlagale (Marathon),$2710000
RSA,Precious Mashele (5000m),$2690000
MGL,Gantulga Dambadarjaa (Marathon),$2690000
USA,Colin Mickow (Marathon),$2670000
MAR,Zouhair Talbi (10000m),$2660000
MEX,Patricio Castillo (Marathon),$2660000
URU,Ernesto Andrés Zamora (Marathon),$2650000
RSA,Melikhaya Frans (Marathon),$2640000
GBR,Joshua Griffiths (Marathon),$2640000
BEL,Thomas De Bock (Marathon),$2640000
KEN,Samuel Gathimba (20K Racewalk),$2640000
CHN,Guojian Dong (Marathon),$2620000
AUS,Carl Gibbons (35K Racewalk),$2610000
ECU,Jordy Rafael Jiménez Arrobo (20K Racewalk),$2600000
SUD,Yaseen Abdalla (5000m),$2580000
AUS,Stewart McSweyn (1500m),$2560000
IND,Sandeep Kumar (20K Racewalk),$2540000
GBR,Andrew Butchart (5000m),$2510000
ITA,Gianluca Picchiottino (20K Racewalk),$2500000
AUS,Kyle Swan (20K Racewalk),$2480000
GUA,José Oswaldo Calel (20K Racewalk),$2460000
LTU,Artur Mastianica (35K Racewalk),$2450000
SSD,Abraham Guem (1500m),$2340000
JPN,Ren Tazawa (10000m),$2270000
NZL,Quentin Rew (20K Racewalk),$2270000
USA,Nick Christie (35K Racewalk),$2240000
QAT,Adam Musab (1500m),$2240000
CAN,Rory Linkletter (Marathon),$2220000
ARM,Yervand Mkrtchyan (1500m),$2090000
MEX,Dario Castro (Marathon),$2030000
AUS,Rhydian Cowley (20K Racewalk),$2020000
FIN,Aleksi Ojala (20K Racewalk),$1950000
USA,Nick Christie (20K Racewalk),$1920000
USA,Joe Klecker (10000m),$1880000
PER,Luis Henry Campos (20K Racewalk),$1870000
BRA,Matheus Correa (20K Racewalk),$1790000
USA,Dan Nehnevaj (20K Racewalk),$1740000
SVK,Miroslav Úradník (20K Racewalk),$1620000
TUR,Salih Korkmaz (20K Racewalk),$1500000
SOM,Abdullahi Jama Mohamed (5000m),$1480000
SVK,Dominik Černý (20K Racewalk),$1430000
GUA,Luis Ángel Sanchez Pérez (35K Racewalk),$1370000
LTU,Marius Žiūkas (20K Racewalk),$1360000
KGZ,Nursultan Keneshbekov (5000m),$1310000
KAZ,Georgiy Sheiko (20K Racewalk),$1230000
ISV,Eduardo Terrance Garcia (Marathon),$1220000
CHA,Ali Hissein Mahamat (5000m),$1120000
ART,Jamal Mohammed (5000m),$970000
MGL,Ser-Od Bat-Ochir (Marathon),$950000
ARG,Juan Cano (20K Racewalk),$860000
BRA,Lucas Mazzo (20K Racewalk),$820000
NEP,Krishna Bahadur Basnet (Marathon),$780000
MAW,Allan Ngitsi Chirwa (800m),$460000
TLS,Manuel Belo Amaral Ataide (800m),$280000
