athleteCountryCode,nameAndEvent,price
ROU,Mihaela Acatrinei (35K Racewalk),$3320000
AUS,Rose Davies (5000m),$3320000
URU,Déborah Rodríguez (800m),$3300000
JPN,Ririka Hironaka (10000m),$3300000
GBR,Jessica Judd (10000m),$3290000
UKR,Hanna Shevchuk (20K Racewalk),$3280000
GER,Gesa Krause (3000m Steeplechase),$3260000
ESP,Carolina Robles (3000m Steeplechase),$3250000
USA,Emily Infeld (10000m),$3250000
KEN,Hellen Obiri (10000m),$3240000
CAN,Natalia Hawthorn (1500m),$3240000
MEX,Mariela Luisa Real (800m),$3230000
MEX,Alma Delia Cortés (1500m),$3210000
AUS,Brielle Erbacher (3000m Steeplechase),$3200000
SWE,Yolanda Ngarambe (1500m),$3200000
JPN,Nanako Fujii (20K Racewalk),$3190000
AUS,Claudia Hollingsworth (800m),$3190000
CZE,Diana Mezuliáníková (1500m),$3190000
POR,Marta Pen Freitas (1500m),$3190000
MEX,Valeria Ortuño (20K Racewalk),$3180000
MEX,Citlali Moscote (Marathon),$3140000
ISR,Adva Cohen (3000m Steeplechase),$3140000
ECU,Glenda Morejón (20K Racewalk),$3120000
SLO,Jerneja Smonkar (800m),$3120000
KEN,Sheila Kiprotich (10000m),$3120000
GRE,Efstathía Kourkoutsáki (35K Racewalk),$3100000
ITA,Valentina Trapletti (20K Racewalk),$2970000
BEL,Vanessa Scaunet (800m),$2970000
POL,Kinga Królik (3000m Steeplechase),$2960000
SWE,Hanna Hermansson (1500m),$2940000
KAZ,Zhanna Mamazhanova (Marathon),$2930000
MEX,Risper Gesabwa (Marathon),$2920000
JPN,Nozomi Tanaka (800m),$2910000
JPN,Kaede Hagitani (5000m),$2910000
GER,Saskia Feige (20K Racewalk),$2900000
CAN,Grace Fetherstonhaugh (3000m Steeplechase),$2900000
ECU,Johana Ordóňez (20K Racewalk),$2890000
CHN,Deshun Zhang (Marathon),$2890000
JPN,Rino Goshima (10000m),$2880000
JPN,Yuno Yamanaka (3000m Steeplechase),$2860000
IND,Parul Chaudhary (3000m Steeplechase),$2850000
ERI,Dolshi Tesfu (10000m),$2840000
POL,Katarzyna Zdziebło (20K Racewalk),$2820000
GBR,Rose Harvey (Marathon),$2800000
AUS,Cara Feain-Ryan (3000m Steeplechase),$2790000
JPN,Reimi Yoshimura (3000m Steeplechase),$2760000
POR,Ana Cabecinha (20K Racewalk),$2750000
CHN,Quanming Wu (20K Racewalk),$2740000
SRI,Nilani Rathnayaka (3000m Steeplechase),$2730000
ECU,Andrea Bonilla (Marathon),$2720000
UKR,Olena Sobchuk (20K Racewalk),$2680000
GER,Sara Benfarès (5000m),$2650000
PER,Jovana de la Cruz (Marathon),$2620000
ARG,Florencia Borelli (5000m),$2600000
JPN,Ran Urabe (1500m),$2600000
ARG,Carolina Lozano (3000m Steeplechase),$2580000
MEX,Alegna González (20K Racewalk),$2560000
ITA,Nicole Colombi (20K Racewalk),$2540000
FIN,Nathalie Blomqvist (1500m),$2530000
POR,Mariana Machado (5000m),$2520000
CZE,Eliška Martínková (20K Racewalk),$2510000
UGA,Immaculate Chemutai (Marathon),$2490000
SVK,Ema Hačundová (35K Racewalk),$2480000
BEL,Mieke Gorissen (Marathon),$2480000
GBR,Amy-Eloise Markovc (5000m),$2480000
TUR,Şilan Ayyildiz (1500m),$2480000
CAN,Leslie Sexton (Marathon),$2460000
BRA,Simone Ferraz (3000m Steeplechase),$2460000
BOL,Jaaneth Mamani Roque (35K Racewalk),$2450000
ECU,Rosa Chacha (Marathon),$2440000
POR,Sandra Silva (35K Racewalk),$2420000
SWE,Carolina Wikström (Marathon),$2390000
CAN,Gracelyn Larkin (5000m),$2370000
FIN,Camilla Richardsson (5000m),$2370000
MGL,Bayartsogt Munkhzaya (Marathon),$2360000
ISR,Maor Tiyouri (Marathon),$2350000
CZE,Tereza Hrochová (Marathon),$2340000
RSA,Caster Semenya (5000m),$2320000
BUL,Militsa Mircheva (Marathon),$2270000
CHN,Shuangshuang Xu (3000m Steeplechase),$2260000
AUS,Rebecca Henderson (20K Racewalk),$2200000
PER,Soledad Torre (Marathon),$2160000
FIN,Alisa Vainio (Marathon),$2150000
CAN,Kinsey Middleton (Marathon),$2100000
IND,Parul Chaudhary (5000m),$2080000
USA,Robyn Stevens (20K Racewalk),$2030000
JPN,Narumi Kobayashi (10000m),$2010000
TUR,Meryem Bekmez (20K Racewalk),$1990000
AUS,Sarah Klein (Marathon),$1960000
CHN,Zhixuan Li (Marathon),$1920000
VEN,Joselyn Daniely Brea (5000m),$1900000
POR,Inês Henriques (20K Racewalk),$1890000
HKG,Christy Ching (Marathon),$1850000
BRA,Viviane Lyra (20K Racewalk),$1820000
CRC,Noelia Vargas (20K Racewalk),$1810000
PER,Aydee Huaman (Marathon),$1790000
PUR,Rachelle de Orbeta (20K Racewalk),$1780000
KEN,Emily Wamusyi Ngii (20K Racewalk),$1690000
ECU,Karla Jaramillo (20K Racewalk),$1630000
GUA,Maidy Monge (20K Racewalk),$1630000
TPE,Tsao Chun-Yu (Marathon),$1620000
CAN,Élissa Legault (Marathon),$1500000
KOS,Gresa Bakraçi (1500m),$1410000
GRE,Kiriakí Filtisákou (20K Racewalk),$1390000
VEN,Edymar Brea (5000m),$1390000
LTU,Brigita Virbalytė-Dimšienė (20K Racewalk),$1380000
USA,Miranda Melville (20K Racewalk),$1380000
KAZ,Galina Yakusheva (20K Racewalk),$1360000
SWE,Hanna Lindholm (Marathon),$1360000
FIN,Enni Nurmi (20K Racewalk),$1340000
IND,Priyanka Goswami (20K Racewalk),$1250000
MKD,Andrijana Pop Arsova (Marathon),$1220000
PUR,Beverly Ramos (Marathon),$1190000
BOL,Angela Melania Castro Chirivechz (20K Racewalk),$1130000
POR,Carolina Costa (20K Racewalk),$1120000
PER,Evelyn Inga (20K Racewalk),$1000000
GRE,Christina Papadopoulou (20K Racewalk),$900000
ART,Anjelina Lohalith (1500m),$690000
ART,Atalena Gaspore (800m),$600000
