ageGroup,ageGroupIdFk,athleteCountryCode,athleteIdFk,bestRecord,bibNumber,combinedEventScoreCalculated,firstName,gender,groupNo,imgVariants,initialPb,initialPbImperial,initialSb,initialSbImperial,laneRow,laneStacked,lastName,position,price,promotion,relayTeamNational,s3ImgUuid,seImplementIdFk,seedingPromotion,startStatus,eventIdFk,event,nameAndEvent
Senior,23,KEN,84958,None,,,Angela,Female,0,,82770000,82770000,83220000,83220000,1,,Tanui,32,$6940000,N,,,178,N,Ok,25,Marathon,Angela Tanui (Marathon)
Senior,23,SRB,1529,None,,,Ivana,Female,0,1,724,28500,706,27775,1,,Vuleta,23,$6930000,N,,1529_1624520802565,187,N,Ok,41,Long Jump,Ivana Vuleta (Long Jump)
Senior,23,ETH,4274,None,,,Letesenbet,Female,0,,8466200,8466200,8645900,8645900,1,,Gidey,8,$6860000,N,,,175,N,Ok,22,5000m,Letesenbet Gidey (5000m)
Senior,23,CHN,119,None,,,Shijie,Female,0,,97860000,97860000,97860000,97860000,1,,Qieyang,8,$6840000,N,,,1312,N,Ok,2234,35K Racewalk,Shijie Qieyang (35K Racewalk)
Senior,23,UKR,9062,None,,,Yaroslava,Female,0,1,206,8100,203,7975,1,,Mahuchikh,26,$6840000,N,,9062_1656579643444,186,N,Ok,40,High Jump,Yaroslava Mahuchikh (High Jump)
Senior,23,CHN,22559,None,,,Jiayuan,Female,0,,2038,80225,2038,80225,1,,Song,6,$6830000,N,,,190,N,Ok,50,Shot Put,Jiayuan Song (Shot Put)
Senior,23,USA,5524,None,,,Michael,Male,0,1,434500,434500,435600,435600,1,,Norman,45,$6810000,N,,5524_1567974244306,3,N,Ok,3,400m,Michael Norman (400m)
Senior,23,KEN,4778,None,,,Wycliffe,Male,0,1,1031200,1031200,1035400,1035400,1,,Kinyamal Kisasy,31,$6810000,N,,4778_1630582163515,25,N,Ok,20,800m,Wycliffe Kinyamal Kisasy (800m)
Senior,23,PER,45114,None,,,Kimberly,Female,0,,97990000,97990000,97990000,97990000,1,,García León,29,$6800000,N,,,1312,N,Ok,2234,35K Racewalk,Kimberly García León (35K Racewalk)
Senior,23,JPN,1143,None,,,Daisuke,Male,0,,88290000,88290000,88290000,88290000,1,,Matsunaga,32,$6790000,N,,,1314,N,Ok,2234,35K Racewalk,Daisuke Matsunaga (35K Racewalk)
Senior,23,CHN,2706,None,,,Hong,Female,0,,50670000,50670000,,,1,,Liu,5,$6790000,N,,,185,N,Ok,32,20K Racewalk,Hong Liu (20K Racewalk)
Senior,23,USA,51174,None,,,Ryan,Male,0,1,2337,92000,2312,91000,1,,Crouser,30,$6780000,N,,51174_1640935282873,43,N,Ok,50,Shot Put,Ryan Crouser (Shot Put)
Senior,23,PUR,51139,None,,,Jasmine,Female,0,1,122600,122600,123700,123700,1,,Camacho-Quinn,32,$6780000,N,,51139_1640931672925,156,N,Ok,4,100m Hurdles,Jasmine Camacho-Quinn (100m Hurdles)
Senior,23,KEN,45188,None,,,Ferdinand,Male,0,,97700,97700,98500,98500,1,,Omanyala,48,$6730000,N,,,1,N,Ok,1,100m,Ferdinand Omanyala (100m)
Senior,23,JPN,22472,None,,,Tomohiro,Male,0,,88380000,88380000,88380000,88380000,1,,Noda,33,$6730000,N,,,1314,N,Ok,2234,35K Racewalk,Tomohiro Noda (35K Racewalk)
Senior,23,USA,4022,None,,,Christopher,Male,0,1,605,23800,605,23800,1,,Nilsen,31,$6720000,N,,4022_1654590499384,41,N,Ok,42,Pole Vault,Christopher Nilsen (Pole Vault)
Senior,23,CAN,9674,None,,,Marco,Male,0,1,1032600,1032600,1036100,1036100,1,,Arop,10,$6700000,N,,9674_1630582438389,25,N,Ok,20,800m,Marco Arop (800m)
Senior,23,CHN,1394,None,,,Bingtian,Male,0,,98300,98300,,,1,,Su,19,$6690000,N,,84e6b669-b196-4d20-a593-7ec98215334f,1,N,Ok,1,100m,Bingtian Su (100m)
Senior,23,CAN,2350,None,,,Mohammed,Male,0,1,7672000,7672000,7758400,7758400,1,,Ahmed,8,$6690000,N,,2350_1624521706345,27,N,Ok,22,5000m,Mohammed Ahmed (5000m)
